2023-11-06 07:13:41, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 07:13:41, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 07:13:53, errorHandler.js, nodejs express, middleware, workerStatus is not defined
2023-11-06 07:13:53, errorHandler.js, nodejs express, errorApiNotFound, errorApiNotFound:/favicon.ico,Requestor:::ffff:10.63.38.64
2023-11-06 07:14:04, errorHandler.js, nodejs express, errorApiNotFound, errorApiNotFound:/css/styles.css,Requestor:::ffff:10.63.38.64
2023-11-06 07:14:24, errorHandler.js, nodejs express, middleware, workerStatus is not defined
2023-11-06 07:31:24, errorHandler.js, nodejs express, errorApiNotFound, errorApiNotFound:/restartAllWorkers,Requestor:::ffff:10.63.38.64
2023-11-06 07:31:48, errorHandler.js, nodejs express, errorApiNotFound, errorApiNotFound:/restartAllWorkers,Requestor:::ffff:10.63.38.64
2023-11-06 08:57:00, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 08:57:00, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 08:57:00, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:57:00, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:57:00, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:57:49, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:57:49, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:57:49, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:57:49, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 08:57:50, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 08:59:51, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:59:51, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:59:51, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:59:51, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:59:52, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 08:59:52, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 08:59:52, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark004
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
2023-11-06 09:05:09, plc-worker.js, Bastian Monitor, Bastian, Station data not found for: Mark012
